	Plate	Well	Frames	Well Number	Control Type	Original Gene Target	Plate_Map_Name	Gene_Replicate	Site	DNA
153	LT0006_10	D2	50	74	negative control	negative control	LT0006_10_74	1	1	LT0006_10/LT0006_10_74_50.tif
154	LT0006_10	M16	50	304	negative control	negative control	LT0006_10_304	1	1	LT0006_10/LT0006_10_304_50.tif
155	LT0006_10	N3	50	315	negative control	negative control	LT0006_10_315	1	1	LT0006_10/LT0006_10_315_50.tif
156	LT0006_10	O16	50	352	negative control	negative control	LT0006_10_352	1	1	LT0006_10/LT0006_10_352_50.tif
157	LT0006_26	A4	50	4	positive control	ENSG00000149503	LT0006_26_4	1	1	LT0006_26/LT0006_26_4_50.tif
158	LT0006_26	A15	50	15	negative control	negative control	LT0006_26_15	1	1	LT0006_26/LT0006_26_15_50.tif
159	LT0006_26	B2	50	26	negative control	negative control	LT0006_26_26	1	1	LT0006_26/LT0006_26_26_50.tif
160	LT0006_26	C1	50	49	positive control	ENSG00000149503	LT0006_26_49	1	1	LT0006_26/LT0006_26_49_50.tif
161	LT0006_26	C4	50	52	positive control	ENSG00000149503	LT0006_26_52	1	1	LT0006_26/LT0006_26_52_50.tif
162	LT0006_26	C15	50	63	negative control	negative control	LT0006_26_63	1	1	LT0006_26/LT0006_26_63_50.tif
163	LT0006_26	D2	50	74	negative control	negative control	LT0006_26_74	1	1	LT0006_26/LT0006_26_74_50.tif
164	LT0006_26	M16	50	304	negative control	negative control	LT0006_26_304	1	1	LT0006_26/LT0006_26_304_50.tif
165	LT0006_26	N3	50	315	negative control	negative control	LT0006_26_315	1	1	LT0006_26/LT0006_26_315_50.tif
166	LT0006_26	O16	50	352	negative control	negative control	LT0006_26_352	1	1	LT0006_26/LT0006_26_352_50.tif
167	LT0006_44	A4	50	4	positive control	ENSG00000149503	LT0006_44_4	1	1	LT0006_44/LT0006_44_4_50.tif
168	LT0006_44	A15	50	15	negative control	negative control	LT0006_44_15	1	1	LT0006_44/LT0006_44_15_50.tif
169	LT0006_44	B2	50	26	negative control	negative control	LT0006_44_26	1	1	LT0006_44/LT0006_44_26_50.tif
170	LT0006_44	C1	50	49	positive control	ENSG00000149503	LT0006_44_49	1	1	LT0006_44/LT0006_44_49_50.tif
171	LT0006_44	C4	50	52	positive control	ENSG00000149503	LT0006_44_52	1	1	LT0006_44/LT0006_44_52_50.tif
172	LT0006_44	C15	50	63	negative control	negative control	LT0006_44_63	1	1	LT0006_44/LT0006_44_63_50.tif
173	LT0006_44	D2	50	74	negative control	negative control	LT0006_44_74	1	1	LT0006_44/LT0006_44_74_50.tif
174	LT0006_44	M16	50	304	negative control	negative control	LT0006_44_304	1	1	LT0006_44/LT0006_44_304_50.tif
175	LT0006_44	N3	50	315	negative control	negative control	LT0006_44_315	1	1	LT0006_44/LT0006_44_315_50.tif
176	LT0006_44	O16	50	352	negative control	negative control	LT0006_44_352	1	1	LT0006_44/LT0006_44_352_50.tif
177	LT0007_08	A4	50	4	positive control	ENSG00000149503	LT0007_08_4	1	1	LT0007_08/LT0007_08_4_50.tif
178	LT0007_08	A15	50	15	negative control	negative control	LT0007_08_15	1	1	LT0007_08/LT0007_08_15_50.tif
179	LT0007_08	B2	50	26	negative control	negative control	LT0007_08_26	1	1	LT0007_08/LT0007_08_26_50.tif
180	LT0007_08	C1	50	49	positive control	ENSG00000149503	LT0007_08_49	1	1	LT0007_08/LT0007_08_49_50.tif
181	LT0007_08	C4	50	52	positive control	ENSG00000149503	LT0007_08_52	1	1	LT0007_08/LT0007_08_52_50.tif
182	LT0007_08	C15	50	63	negative control	negative control	LT0007_08_63	1	1	LT0007_08/LT0007_08_63_50.tif
183	LT0007_08	D2	50	74	negative control	negative control	LT0007_08_74	1	1	LT0007_08/LT0007_08_74_50.tif
184	LT0007_08	M16	50	304	negative control	negative control	LT0007_08_304	1	1	LT0007_08/LT0007_08_304_50.tif
185	LT0007_08	N3	50	315	negative control	negative control	LT0007_08_315	1	1	LT0007_08/LT0007_08_315_50.tif
186	LT0007_08	O16	50	352	negative control	negative control	LT0007_08_352	1	1	LT0007_08/LT0007_08_352_50.tif
187	LT0007_10	A4	50	4	positive control	ENSG00000149503	LT0007_10_4	1	1	LT0007_10/LT0007_10_4_50.tif
188	LT0007_10	A15	50	15	negative control	negative control	LT0007_10_15	1	1	LT0007_10/LT0007_10_15_50.tif
189	LT0007_10	B2	50	26	negative control	negative control	LT0007_10_26	1	1	LT0007_10/LT0007_10_26_50.tif
190	LT0007_10	C1	50	49	positive control	ENSG00000149503	LT0007_10_49	1	1	LT0007_10/LT0007_10_49_50.tif
191	LT0007_10	C4	50	52	positive control	ENSG00000149503	LT0007_10_52	1	1	LT0007_10/LT0007_10_52_50.tif
192	LT0007_10	C15	50	63	negative control	negative control	LT0007_10_63	1	1	LT0007_10/LT0007_10_63_50.tif
193	LT0007_10	D2	50	74	negative control	negative control	LT0007_10_74	1	1	LT0007_10/LT0007_10_74_50.tif
194	LT0007_10	M16	50	304	negative control	negative control	LT0007_10_304	1	1	LT0007_10/LT0007_10_304_50.tif
195	LT0007_10	N3	50	315	negative control	negative control	LT0007_10_315	1	1	LT0007_10/LT0007_10_315_50.tif
196	LT0007_10	O16	50	352	negative control	negative control	LT0007_10_352	1	1	LT0007_10/LT0007_10_352_50.tif
197	LT0007_20	A4	50	4	positive control	ENSG00000149503	LT0007_20_4	1	1	LT0007_20/LT0007_20_4_50.tif
198	LT0007_20	A15	50	15	negative control	negative control	LT0007_20_15	1	1	LT0007_20/LT0007_20_15_50.tif
199	LT0007_20	B2	50	26	negative control	negative control	LT0007_20_26	1	1	LT0007_20/LT0007_20_26_50.tif
200	LT0007_20	C1	50	49	positive control	ENSG00000149503	LT0007_20_49	1	1	LT0007_20/LT0007_20_49_50.tif
201	LT0007_20	C4	50	52	positive control	ENSG00000149503	LT0007_20_52	1	1	LT0007_20/LT0007_20_52_50.tif
202	LT0007_20	C15	50	63	negative control	negative control	LT0007_20_63	1	1	LT0007_20/LT0007_20_63_50.tif
203	LT0007_20	D2	50	74	negative control	negative control	LT0007_20_74	1	1	LT0007_20/LT0007_20_74_50.tif
204	LT0007_20	M16	50	304	negative control	negative control	LT0007_20_304	1	1	LT0007_20/LT0007_20_304_50.tif
205	LT0007_20	N3	50	315	negative control	negative control	LT0007_20_315	1	1	LT0007_20/LT0007_20_315_50.tif
206	LT0007_20	O16	50	352	negative control	negative control	LT0007_20_352	1	1	LT0007_20/LT0007_20_352_50.tif
207	LT0007_26	A4	50	4	positive control	ENSG00000149503	LT0007_26_4	1	1	LT0007_26/LT0007_26_4_50.tif
208	LT0007_26	A15	50	15	negative control	negative control	LT0007_26_15	1	1	LT0007_26/LT0007_26_15_50.tif
209	LT0007_26	B2	50	26	negative control	negative control	LT0007_26_26	1	1	LT0007_26/LT0007_26_26_50.tif
210	LT0007_26	C1	50	49	positive control	ENSG00000149503	LT0007_26_49	1	1	LT0007_26/LT0007_26_49_50.tif
211	LT0007_26	C4	50	52	positive control	ENSG00000149503	LT0007_26_52	1	1	LT0007_26/LT0007_26_52_50.tif
212	LT0007_26	C15	50	63	negative control	negative control	LT0007_26_63	1	1	LT0007_26/LT0007_26_63_50.tif
213	LT0007_26	D2	50	74	negative control	negative control	LT0007_26_74	1	1	LT0007_26/LT0007_26_74_50.tif
214	LT0007_26	M16	50	304	negative control	negative control	LT0007_26_304	1	1	LT0007_26/LT0007_26_304_50.tif
215	LT0007_26	N3	50	315	negative control	negative control	LT0007_26_315	1	1	LT0007_26/LT0007_26_315_50.tif
216	LT0007_26	O16	50	352	negative control	negative control	LT0007_26_352	1	1	LT0007_26/LT0007_26_352_50.tif
217	LT0008_07	A4	50	4	positive control	ENSG00000149503	LT0008_07_4	1	1	LT0008_07/LT0008_07_4_50.tif
218	LT0008_07	A15	50	15	negative control	negative control	LT0008_07_15	1	1	LT0008_07/LT0008_07_15_50.tif
219	LT0008_07	B2	50	26	negative control	negative control	LT0008_07_26	1	1	LT0008_07/LT0008_07_26_50.tif
220	LT0008_07	C1	50	49	positive control	ENSG00000149503	LT0008_07_49	1	1	LT0008_07/LT0008_07_49_50.tif
221	LT0008_07	C4	50	52	positive control	ENSG00000149503	LT0008_07_52	1	1	LT0008_07/LT0008_07_52_50.tif
222	LT0008_07	C15	50	63	negative control	negative control	LT0008_07_63	1	1	LT0008_07/LT0008_07_63_50.tif
223	LT0008_07	D2	50	74	negative control	negative control	LT0008_07_74	1	1	LT0008_07/LT0008_07_74_50.tif
224	LT0008_07	M16	50	304	negative control	negative control	LT0008_07_304	1	1	LT0008_07/LT0008_07_304_50.tif
225	LT0008_07	N3	50	315	negative control	negative control	LT0008_07_315	1	1	LT0008_07/LT0008_07_315_50.tif
226	LT0008_07	O16	50	352	negative control	negative control	LT0008_07_352	1	1	LT0008_07/LT0008_07_352_50.tif
227	LT0008_14	A4	50	4	positive control	ENSG00000149503	LT0008_14_4	1	1	LT0008_14/LT0008_14_4_50.tif
228	LT0008_14	A15	50	15	negative control	negative control	LT0008_14_15	1	1	LT0008_14/LT0008_14_15_50.tif
229	LT0008_14	B2	50	26	negative control	negative control	LT0008_14_26	1	1	LT0008_14/LT0008_14_26_50.tif
230	LT0008_14	C1	50	49	positive control	ENSG00000149503	LT0008_14_49	1	1	LT0008_14/LT0008_14_49_50.tif
