Plate,Well,Frames,Well Number,Control Type,Original Gene Target,Plate_Map_Name,Gene_Replicate,Site,DNA
LT0007_08,O16,50,352,negative control,negative control,LT0007_08_352,1,1,LT0007_08/LT0007_08_352_50.tif
LT0007_10,A1,50,1,positive control,ENSG00000149503,LT0007_10_1,1,1,LT0007_10/LT0007_10_1_50.tif
LT0007_10,A4,50,4,positive control,ENSG00000149503,LT0007_10_4,1,1,LT0007_10/LT0007_10_4_50.tif
LT0007_10,A15,50,15,negative control,negative control,LT0007_10_15,1,1,LT0007_10/LT0007_10_15_50.tif
LT0007_10,B2,50,26,negative control,negative control,LT0007_10_26,1,1,LT0007_10/LT0007_10_26_50.tif
LT0007_10,C1,50,49,positive control,ENSG00000149503,LT0007_10_49,1,1,LT0007_10/LT0007_10_49_50.tif
LT0007_10,C4,50,52,positive control,ENSG00000149503,LT0007_10_52,1,1,LT0007_10/LT0007_10_52_50.tif
LT0007_10,C15,50,63,negative control,negative control,LT0007_10_63,1,1,LT0007_10/LT0007_10_63_50.tif
LT0007_10,D2,50,74,negative control,negative control,LT0007_10_74,1,1,LT0007_10/LT0007_10_74_50.tif
LT0007_10,M16,50,304,negative control,negative control,LT0007_10_304,1,1,LT0007_10/LT0007_10_304_50.tif
LT0007_10,N3,50,315,negative control,negative control,LT0007_10_315,1,1,LT0007_10/LT0007_10_315_50.tif
LT0007_10,O16,50,352,negative control,negative control,LT0007_10_352,1,1,LT0007_10/LT0007_10_352_50.tif
LT0007_20,A1,50,1,positive control,ENSG00000149503,LT0007_20_1,1,1,LT0007_20/LT0007_20_1_50.tif
LT0007_20,A4,50,4,positive control,ENSG00000149503,LT0007_20_4,1,1,LT0007_20/LT0007_20_4_50.tif
LT0007_20,A15,50,15,negative control,negative control,LT0007_20_15,1,1,LT0007_20/LT0007_20_15_50.tif
LT0007_20,B2,50,26,negative control,negative control,LT0007_20_26,1,1,LT0007_20/LT0007_20_26_50.tif
LT0007_20,C1,50,49,positive control,ENSG00000149503,LT0007_20_49,1,1,LT0007_20/LT0007_20_49_50.tif
LT0007_20,C4,50,52,positive control,ENSG00000149503,LT0007_20_52,1,1,LT0007_20/LT0007_20_52_50.tif
LT0007_20,C15,50,63,negative control,negative control,LT0007_20_63,1,1,LT0007_20/LT0007_20_63_50.tif
LT0007_20,D2,50,74,negative control,negative control,LT0007_20_74,1,1,LT0007_20/LT0007_20_74_50.tif
LT0007_20,M16,50,304,negative control,negative control,LT0007_20_304,1,1,LT0007_20/LT0007_20_304_50.tif
LT0007_20,N3,50,315,negative control,negative control,LT0007_20_315,1,1,LT0007_20/LT0007_20_315_50.tif
LT0007_20,O16,50,352,negative control,negative control,LT0007_20_352,1,1,LT0007_20/LT0007_20_352_50.tif
LT0007_26,A1,50,1,positive control,ENSG00000149503,LT0007_26_1,1,1,LT0007_26/LT0007_26_1_50.tif
LT0007_26,A4,50,4,positive control,ENSG00000149503,LT0007_26_4,1,1,LT0007_26/LT0007_26_4_50.tif
LT0007_26,A15,50,15,negative control,negative control,LT0007_26_15,1,1,LT0007_26/LT0007_26_15_50.tif
LT0007_26,B2,50,26,negative control,negative control,LT0007_26_26,1,1,LT0007_26/LT0007_26_26_50.tif
LT0007_26,C1,50,49,positive control,ENSG00000149503,LT0007_26_49,1,1,LT0007_26/LT0007_26_49_50.tif
LT0007_26,C4,50,52,positive control,ENSG00000149503,LT0007_26_52,1,1,LT0007_26/LT0007_26_52_50.tif
LT0007_26,C15,50,63,negative control,negative control,LT0007_26_63,1,1,LT0007_26/LT0007_26_63_50.tif
