	Plate	Well	Frames	Well Number	Control Type	Original Gene Target
167427	LT0140_10	A4	50	4	positive control	ENSG00000149503
167438	LT0140_10	A15	50	15	negative control	
167449	LT0140_10	B2	50	26	negative control	
167472	LT0140_10	C1	50	49	positive control	ENSG00000149503
167475	LT0140_10	C4	50	52	positive control	ENSG00000149503
167486	LT0140_10	C15	50	63	negative control	
167497	LT0140_10	D2	50	74	negative control	
167727	LT0140_10	M16	50	304	negative control	
167738	LT0140_10	N3	50	315	negative control	
167756	LT0140_10	N21	50	333	positive control	COPB
167759	LT0140_10	N24	50	336	positive control	COPB
167775	LT0140_10	O16	50	352	negative control	
167786	LT0140_10	P3	50	363	negative control	
167804	LT0140_10	P21	50	381	positive control	COPB
167807	LT0140_10	P24	50	384	positive control	COPB
167808	LT0141_02	A1	50	1	positive control	ENSG00000149503
167811	LT0141_02	A4	50	4	positive control	ENSG00000149503
167822	LT0141_02	A15	50	15	negative control	
167833	LT0141_02	B2	50	26	negative control	
167856	LT0141_02	C1	50	49	positive control	ENSG00000149503
167859	LT0141_02	C4	50	52	positive control	ENSG00000149503
167870	LT0141_02	C15	50	63	negative control	
167881	LT0141_02	D2	50	74	negative control	
168111	LT0141_02	M16	50	304	negative control	
168122	LT0141_02	N3	50	315	negative control	
168140	LT0141_02	N21	50	333	positive control	COPB
168143	LT0141_02	N24	50	336	positive control	COPB
168159	LT0141_02	O16	50	352	negative control	
168170	LT0141_02	P3	50	363	negative control	
168188	LT0141_02	P21	50	381	positive control	COPB
168191	LT0141_02	P24	50	384	positive control	COPB
168192	LT0141_03	A1	50	1	positive control	ENSG00000149503
168195	LT0141_03	A4	50	4	positive control	ENSG00000149503
168206	LT0141_03	A15	50	15	negative control	
168217	LT0141_03	B2	50	26	negative control	
168240	LT0141_03	C1	50	49	positive control	ENSG00000149503
168243	LT0141_03	C4	50	52	positive control	ENSG00000149503
168254	LT0141_03	C15	50	63	negative control	
168265	LT0141_03	D2	50	74	negative control	
168495	LT0141_03	M16	50	304	negative control	
168506	LT0141_03	N3	50	315	negative control	
168524	LT0141_03	N21	50	333	positive control	COPB
168527	LT0141_03	N24	50	336	positive control	COPB
168543	LT0141_03	O16	50	352	negative control	
168554	LT0141_03	P3	50	363	negative control	
168572	LT0141_03	P21	50	381	positive control	COPB
168575	LT0141_03	P24	50	384	positive control	COPB
168576	LT0141_04	A1	50	1	positive control	ENSG00000149503
168579	LT0141_04	A4	50	4	positive control	ENSG00000149503
168590	LT0141_04	A15	50	15	negative control	
168601	LT0141_04	B2	50	26	negative control	
168624	LT0141_04	C1	50	49	positive control	ENSG00000149503
168627	LT0141_04	C4	50	52	positive control	ENSG00000149503
168638	LT0141_04	C15	50	63	negative control	
168649	LT0141_04	D2	50	74	negative control	
168879	LT0141_04	M16	50	304	negative control	
168890	LT0141_04	N3	50	315	negative control	
168908	LT0141_04	N21	50	333	positive control	COPB
168911	LT0141_04	N24	50	336	positive control	COPB
168927	LT0141_04	O16	50	352	negative control	
168938	LT0141_04	P3	50	363	negative control	
168956	LT0141_04	P21	50	381	positive control	COPB
168959	LT0141_04	P24	50	384	positive control	COPB
168960	LT0142_01	A1	50	1	positive control	ENSG00000149503
168963	LT0142_01	A4	50	4	positive control	ENSG00000149503
168974	LT0142_01	A15	50	15	negative control	
168985	LT0142_01	B2	50	26	negative control	
169008	LT0142_01	C1	50	49	positive control	ENSG00000149503
169011	LT0142_01	C4	50	52	positive control	ENSG00000149503
169022	LT0142_01	C15	50	63	negative control	
169033	LT0142_01	D2	50	74	negative control	
169263	LT0142_01	M16	50	304	negative control	
169274	LT0142_01	N3	50	315	negative control	
169292	LT0142_01	N21	50	333	positive control	COPB
169295	LT0142_01	N24	50	336	positive control	COPB
169311	LT0142_01	O16	50	352	negative control	
169322	LT0142_01	P3	50	363	negative control	
169340	LT0142_01	P21	50	381	positive control	COPB
169343	LT0142_01	P24	50	384	positive control	COPB
169344	LT0142_03	A1	50	1	positive control	ENSG00000149503
169347	LT0142_03	A4	50	4	positive control	ENSG00000149503
169358	LT0142_03	A15	50	15	negative control	
169369	LT0142_03	B2	50	26	negative control	
169392	LT0142_03	C1	50	49	positive control	ENSG00000149503
169395	LT0142_03	C4	50	52	positive control	ENSG00000149503
169406	LT0142_03	C15	50	63	negative control	
169417	LT0142_03	D2	50	74	negative control	
169647	LT0142_03	M16	50	304	negative control	
169658	LT0142_03	N3	50	315	negative control	
169676	LT0142_03	N21	50	333	positive control	COPB
169679	LT0142_03	N24	50	336	positive control	COPB
169695	LT0142_03	O16	50	352	negative control	
169706	LT0142_03	P3	50	363	negative control	
169724	LT0142_03	P21	50	381	positive control	COPB
169727	LT0142_03	P24	50	384	positive control	COPB
169728	LT0142_06	A1	50	1	positive control	ENSG00000149503
169731	LT0142_06	A4	50	4	positive control	ENSG00000149503
169742	LT0142_06	A15	50	15	negative control	
169753	LT0142_06	B2	50	26	negative control	
169776	LT0142_06	C1	50	49	positive control	ENSG00000149503
169779	LT0142_06	C4	50	52	positive control	ENSG00000149503
169790	LT0142_06	C15	50	63	negative control	
169801	LT0142_06	D2	50	74	negative control	
170031	LT0142_06	M16	50	304	negative control	
170042	LT0142_06	N3	50	315	negative control	
170060	LT0142_06	N21	50	333	positive control	COPB
170063	LT0142_06	N24	50	336	positive control	COPB
170079	LT0142_06	O16	50	352	negative control	
170090	LT0142_06	P3	50	363	negative control	
170108	LT0142_06	P21	50	381	positive control	COPB
170111	LT0142_06	P24	50	384	positive control	COPB
170112	LT0143_01	A1	50	1	positive control	ENSG00000149503
170115	LT0143_01	A4	50	4	positive control	ENSG00000149503
170126	LT0143_01	A15	50	15	negative control	
170137	LT0143_01	B2	50	26	negative control	
170160	LT0143_01	C1	50	49	positive control	ENSG00000149503
170163	LT0143_01	C4	50	52	positive control	ENSG00000149503
170174	LT0143_01	C15	50	63	negative control	
170185	LT0143_01	D2	50	74	negative control	
170415	LT0143_01	M16	50	304	negative control	
170426	LT0143_01	N3	50	315	negative control	
170444	LT0143_01	N21	50	333	positive control	COPB
170447	LT0143_01	N24	50	336	positive control	COPB
170463	LT0143_01	O16	50	352	negative control	
170474	LT0143_01	P3	50	363	negative control	
170492	LT0143_01	P21	50	381	positive control	COPB
170495	LT0143_01	P24	50	384	positive control	COPB
170496	LT0143_02	A1	50	1	positive control	ENSG00000149503
170499	LT0143_02	A4	50	4	positive control	ENSG00000149503
170510	LT0143_02	A15	50	15	negative control	
170521	LT0143_02	B2	50	26	negative control	
170544	LT0143_02	C1	50	49	positive control	ENSG00000149503
170547	LT0143_02	C4	50	52	positive control	ENSG00000149503
170558	LT0143_02	C15	50	63	negative control	
170569	LT0143_02	D2	50	74	negative control	
170799	LT0143_02	M16	50	304	negative control	
170810	LT0143_02	N3	50	315	negative control	
170828	LT0143_02	N21	50	333	positive control	COPB
170831	LT0143_02	N24	50	336	positive control	COPB
170847	LT0143_02	O16	50	352	negative control	
170858	LT0143_02	P3	50	363	negative control	
170876	LT0143_02	P21	50	381	positive control	COPB
170879	LT0143_02	P24	50	384	positive control	COPB
170880	LT0143_05	A1	50	1	positive control	ENSG00000149503
170883	LT0143_05	A4	50	4	positive control	ENSG00000149503
170894	LT0143_05	A15	50	15	negative control	
170905	LT0143_05	B2	50	26	negative control	
170928	LT0143_05	C1	50	49	positive control	ENSG00000149503
170931	LT0143_05	C4	50	52	positive control	ENSG00000149503
170942	LT0143_05	C15	50	63	negative control	
170953	LT0143_05	D2	50	74	negative control	
171183	LT0143_05	M16	50	304	negative control	
171194	LT0143_05	N3	50	315	negative control	
171212	LT0143_05	N21	50	333	positive control	COPB
171215	LT0143_05	N24	50	336	positive control	COPB
171231	LT0143_05	O16	50	352	negative control	
171242	LT0143_05	P3	50	363	negative control	
171260	LT0143_05	P21	50	381	positive control	COPB
171263	LT0143_05	P24	50	384	positive control	COPB
171264	LT0144_01	A1	50	1	positive control	ENSG00000149503
171267	LT0144_01	A4	50	4	positive control	ENSG00000149503
171278	LT0144_01	A15	50	15	negative control	
171289	LT0144_01	B2	50	26	negative control	
171312	LT0144_01	C1	50	49	positive control	ENSG00000149503
171315	LT0144_01	C4	50	52	positive control	ENSG00000149503
171326	LT0144_01	C15	50	63	negative control	
171337	LT0144_01	D2	50	74	negative control	
171567	LT0144_01	M16	50	304	negative control	
171578	LT0144_01	N3	50	315	negative control	
171596	LT0144_01	N21	50	333	positive control	COPB
171599	LT0144_01	N24	50	336	positive control	COPB
171615	LT0144_01	O16	50	352	negative control	
171626	LT0144_01	P3	50	363	negative control	
171644	LT0144_01	P21	50	381	positive control	COPB
171647	LT0144_01	P24	50	384	positive control	COPB
171648	LT0144_02	A1	50	1	positive control	ENSG00000149503
171651	LT0144_02	A4	50	4	positive control	ENSG00000149503
171662	LT0144_02	A15	50	15	negative control	
171673	LT0144_02	B2	50	26	negative control	
171696	LT0144_02	C1	50	49	positive control	ENSG00000149503
171699	LT0144_02	C4	50	52	positive control	ENSG00000149503
171710	LT0144_02	C15	50	63	negative control	
171721	LT0144_02	D2	50	74	negative control	
171951	LT0144_02	M16	50	304	negative control	
171962	LT0144_02	N3	50	315	negative control	
171980	LT0144_02	N21	50	333	positive control	COPB
171983	LT0144_02	N24	50	336	positive control	COPB
171999	LT0144_02	O16	50	352	negative control	
172010	LT0144_02	P3	50	363	negative control	
172028	LT0144_02	P21	50	381	positive control	COPB
172031	LT0144_02	P24	50	384	positive control	COPB
172032	LT0144_04	A1	50	1	positive control	ENSG00000149503
172035	LT0144_04	A4	50	4	positive control	ENSG00000149503
172046	LT0144_04	A15	50	15	negative control	
172057	LT0144_04	B2	50	26	negative control	
172080	LT0144_04	C1	50	49	positive control	ENSG00000149503
172083	LT0144_04	C4	50	52	positive control	ENSG00000149503
172094	LT0144_04	C15	50	63	negative control	
172105	LT0144_04	D2	50	74	negative control	
172335	LT0144_04	M16	50	304	negative control	
172346	LT0144_04	N3	50	315	negative control	
172364	LT0144_04	N21	50	333	positive control	COPB
172367	LT0144_04	N24	50	336	positive control	COPB
172383	LT0144_04	O16	50	352	negative control	
172394	LT0144_04	P3	50	363	negative control	
172412	LT0144_04	P21	50	381	positive control	COPB
172415	LT0144_04	P24	50	384	positive control	COPB
172416	LT0145_01	A1	50	1	positive control	ENSG00000149503
172419	LT0145_01	A4	50	4	positive control	ENSG00000149503
172430	LT0145_01	A15	50	15	negative control	
172441	LT0145_01	B2	50	26	negative control	
172464	LT0145_01	C1	50	49	positive control	ENSG00000149503
172467	LT0145_01	C4	50	52	positive control	ENSG00000149503
172478	LT0145_01	C15	50	63	negative control	
172489	LT0145_01	D2	50	74	negative control	
172719	LT0145_01	M16	50	304	negative control	
172730	LT0145_01	N3	50	315	negative control	
172748	LT0145_01	N21	50	333	positive control	COPB
172751	LT0145_01	N24	50	336	positive control	COPB
172767	LT0145_01	O16	50	352	negative control	
172778	LT0145_01	P3	50	363	negative control	
172796	LT0145_01	P21	50	381	positive control	COPB
172799	LT0145_01	P24	50	384	positive control	COPB
172800	LT0145_02	A1	50	1	positive control	ENSG00000149503
172803	LT0145_02	A4	50	4	positive control	ENSG00000149503
172814	LT0145_02	A15	50	15	negative control	
172825	LT0145_02	B2	50	26	negative control	
172848	LT0145_02	C1	50	49	positive control	ENSG00000149503
172851	LT0145_02	C4	50	52	positive control	ENSG00000149503
172862	LT0145_02	C15	50	63	negative control	
172873	LT0145_02	D2	50	74	negative control	
173103	LT0145_02	M16	50	304	negative control	
173114	LT0145_02	N3	50	315	negative control	
173132	LT0145_02	N21	50	333	positive control	COPB
173135	LT0145_02	N24	50	336	positive control	COPB
173151	LT0145_02	O16	50	352	negative control	
173162	LT0145_02	P3	50	363	negative control	
173180	LT0145_02	P21	50	381	positive control	COPB
173183	LT0145_02	P24	50	384	positive control	COPB
173184	LT0145_04	A1	50	1	positive control	ENSG00000149503
173187	LT0145_04	A4	50	4	positive control	ENSG00000149503
173198	LT0145_04	A15	50	15	negative control	
173209	LT0145_04	B2	50	26	negative control	
173232	LT0145_04	C1	50	49	positive control	ENSG00000149503
173235	LT0145_04	C4	50	52	positive control	ENSG00000149503
173246	LT0145_04	C15	50	63	negative control	
173257	LT0145_04	D2	50	74	negative control	
173487	LT0145_04	M16	50	304	negative control	
173498	LT0145_04	N3	50	315	negative control	
173516	LT0145_04	N21	50	333	positive control	COPB
173519	LT0145_04	N24	50	336	positive control	COPB
173535	LT0145_04	O16	50	352	negative control	
173546	LT0145_04	P3	50	363	negative control	
173564	LT0145_04	P21	50	381	positive control	COPB
173567	LT0145_04	P24	50	384	positive control	COPB
173568	LT0146_02	A1	50	1	positive control	ENSG00000149503
173571	LT0146_02	A4	50	4	positive control	ENSG00000149503
173582	LT0146_02	A15	50	15	negative control	
173593	LT0146_02	B2	50	26	negative control	
173616	LT0146_02	C1	50	49	positive control	ENSG00000149503
173619	LT0146_02	C4	50	52	positive control	ENSG00000149503
173630	LT0146_02	C15	50	63	negative control	
173641	LT0146_02	D2	50	74	negative control	
173871	LT0146_02	M16	50	304	negative control	
173882	LT0146_02	N3	50	315	negative control	
173900	LT0146_02	N21	50	333	positive control	COPB
173903	LT0146_02	N24	50	336	positive control	COPB
173919	LT0146_02	O16	50	352	negative control	
173930	LT0146_02	P3	50	363	negative control	
173948	LT0146_02	P21	50	381	positive control	COPB
173951	LT0146_02	P24	50	384	positive control	COPB
173952	LT0146_04	A1	50	1	positive control	ENSG00000149503
173955	LT0146_04	A4	50	4	positive control	ENSG00000149503
173966	LT0146_04	A15	50	15	negative control	
173977	LT0146_04	B2	50	26	negative control	
174000	LT0146_04	C1	50	49	positive control	ENSG00000149503
174003	LT0146_04	C4	50	52	positive control	ENSG00000149503
174014	LT0146_04	C15	50	63	negative control	
174025	LT0146_04	D2	50	74	negative control	
174255	LT0146_04	M16	50	304	negative control	
174266	LT0146_04	N3	50	315	negative control	
174284	LT0146_04	N21	50	333	positive control	COPB
174287	LT0146_04	N24	50	336	positive control	COPB
174303	LT0146_04	O16	50	352	negative control	
174314	LT0146_04	P3	50	363	negative control	
174332	LT0146_04	P21	50	381	positive control	COPB
174335	LT0146_04	P24	50	384	positive control	COPB
174336	LT0146_06	A1	50	1	positive control	ENSG00000149503
174339	LT0146_06	A4	50	4	positive control	ENSG00000149503
174350	LT0146_06	A15	50	15	negative control	
174361	LT0146_06	B2	50	26	negative control	
174384	LT0146_06	C1	50	49	positive control	ENSG00000149503
174387	LT0146_06	C4	50	52	positive control	ENSG00000149503
174398	LT0146_06	C15	50	63	negative control	
174409	LT0146_06	D2	50	74	negative control	
174639	LT0146_06	M16	50	304	negative control	
174650	LT0146_06	N3	50	315	negative control	
174668	LT0146_06	N21	50	333	positive control	COPB
174671	LT0146_06	N24	50	336	positive control	COPB
174687	LT0146_06	O16	50	352	negative control	
174698	LT0146_06	P3	50	363	negative control	
174716	LT0146_06	P21	50	381	positive control	COPB
174719	LT0146_06	P24	50	384	positive control	COPB
174720	LT0147_01	A1	50	1	positive control	ENSG00000149503
174723	LT0147_01	A4	50	4	positive control	ENSG00000149503
174734	LT0147_01	A15	50	15	negative control	
174745	LT0147_01	B2	50	26	negative control	
174768	LT0147_01	C1	50	49	positive control	ENSG00000149503
174771	LT0147_01	C4	50	52	positive control	ENSG00000149503
174782	LT0147_01	C15	50	63	negative control	
174793	LT0147_01	D2	50	74	negative control	
175023	LT0147_01	M16	50	304	negative control	
175034	LT0147_01	N3	50	315	negative control	
175052	LT0147_01	N21	50	333	positive control	COPB
175055	LT0147_01	N24	50	336	positive control	COPB
175071	LT0147_01	O16	50	352	negative control	
175082	LT0147_01	P3	50	363	negative control	
175100	LT0147_01	P21	50	381	positive control	COPB
175103	LT0147_01	P24	50	384	positive control	COPB
175104	LT0147_02	A1	50	1	positive control	ENSG00000149503
175107	LT0147_02	A4	50	4	positive control	ENSG00000149503
175118	LT0147_02	A15	50	15	negative control	
175129	LT0147_02	B2	50	26	negative control	
175152	LT0147_02	C1	50	49	positive control	ENSG00000149503
175155	LT0147_02	C4	50	52	positive control	ENSG00000149503
175166	LT0147_02	C15	50	63	negative control	
175177	LT0147_02	D2	50	74	negative control	
175407	LT0147_02	M16	50	304	negative control	
175418	LT0147_02	N3	50	315	negative control	
175436	LT0147_02	N21	50	333	positive control	COPB
175439	LT0147_02	N24	50	336	positive control	COPB
175455	LT0147_02	O16	50	352	negative control	
175466	LT0147_02	P3	50	363	negative control	
175484	LT0147_02	P21	50	381	positive control	COPB
175487	LT0147_02	P24	50	384	positive control	COPB
175488	LT0147_03	A1	50	1	positive control	ENSG00000149503
175491	LT0147_03	A4	50	4	positive control	ENSG00000149503
175502	LT0147_03	A15	50	15	negative control	
175513	LT0147_03	B2	50	26	negative control	
175536	LT0147_03	C1	50	49	positive control	ENSG00000149503
175539	LT0147_03	C4	50	52	positive control	ENSG00000149503
175550	LT0147_03	C15	50	63	negative control	
175561	LT0147_03	D2	50	74	negative control	
175791	LT0147_03	M16	50	304	negative control	
175802	LT0147_03	N3	50	315	negative control	
175820	LT0147_03	N21	50	333	positive control	COPB
175823	LT0147_03	N24	50	336	positive control	COPB
175839	LT0147_03	O16	50	352	negative control	
175850	LT0147_03	P3	50	363	negative control	
175868	LT0147_03	P21	50	381	positive control	COPB
175871	LT0147_03	P24	50	384	positive control	COPB
175872	LT0148_01	A1	50	1	positive control	ENSG00000149503
175875	LT0148_01	A4	50	4	positive control	ENSG00000149503
175886	LT0148_01	A15	50	15	negative control	
175923	LT0148_01	C4	50	52	positive control	ENSG00000149503
175934	LT0148_01	C15	50	63	negative control	
175945	LT0148_01	D2	50	74	negative control	
176175	LT0148_01	M16	50	304	negative control	
176186	LT0148_01	N3	50	315	negative control	
176204	LT0148_01	N21	50	333	positive control	COPB
176207	LT0148_01	N24	50	336	positive control	COPB
176223	LT0148_01	O16	50	352	negative control	
176234	LT0148_01	P3	50	363	negative control	
176252	LT0148_01	P21	50	381	positive control	COPB
176255	LT0148_01	P24	50	384	positive control	COPB
176256	LT0148_02	A1	50	1	positive control	ENSG00000149503
176259	LT0148_02	A4	50	4	positive control	ENSG00000149503
176270	LT0148_02	A15	50	15	negative control	
176281	LT0148_02	B2	50	26	negative control	
176304	LT0148_02	C1	50	49	positive control	ENSG00000149503
176307	LT0148_02	C4	50	52	positive control	ENSG00000149503
176318	LT0148_02	C15	50	63	negative control	
176329	LT0148_02	D2	50	74	negative control	
176559	LT0148_02	M16	50	304	negative control	
176570	LT0148_02	N3	50	315	negative control	
176588	LT0148_02	N21	50	333	positive control	COPB
176591	LT0148_02	N24	50	336	positive control	COPB
176607	LT0148_02	O16	50	352	negative control	
176618	LT0148_02	P3	50	363	negative control	
176636	LT0148_02	P21	50	381	positive control	COPB
176639	LT0148_02	P24	50	384	positive control	COPB
176640	LT0148_11	A1	50	1	positive control	ENSG00000149503
176643	LT0148_11	A4	50	4	positive control	ENSG00000149503
176654	LT0148_11	A15	50	15	negative control	
176665	LT0148_11	B2	50	26	negative control	
176688	LT0148_11	C1	50	49	positive control	ENSG00000149503
176691	LT0148_11	C4	50	52	positive control	ENSG00000149503
176702	LT0148_11	C15	50	63	negative control	
176713	LT0148_11	D2	50	74	negative control	
176943	LT0148_11	M16	50	304	negative control	
176954	LT0148_11	N3	50	315	negative control	
176972	LT0148_11	N21	50	333	positive control	COPB
176975	LT0148_11	N24	50	336	positive control	COPB
176991	LT0148_11	O16	50	352	negative control	
177002	LT0148_11	P3	50	363	negative control	
177020	LT0148_11	P21	50	381	positive control	COPB
177023	LT0148_11	P24	50	384	positive control	COPB
177024	LT0148_37	A1	50	1	positive control	ENSG00000149503
177027	LT0148_37	A4	50	4	positive control	ENSG00000149503
177038	LT0148_37	A15	50	15	negative control	
177049	LT0148_37	B2	50	26	negative control	
177072	LT0148_37	C1	50	49	positive control	ENSG00000149503
177075	LT0148_37	C4	50	52	positive control	ENSG00000149503
177086	LT0148_37	C15	50	63	negative control	
177097	LT0148_37	D2	50	74	negative control	
177327	LT0148_37	M16	50	304	negative control	
177338	LT0148_37	N3	50	315	negative control	
177356	LT0148_37	N21	50	333	positive control	COPB
177359	LT0148_37	N24	50	336	positive control	COPB
177375	LT0148_37	O16	50	352	negative control	
177386	LT0148_37	P3	50	363	negative control	
177404	LT0148_37	P21	50	381	positive control	COPB
177407	LT0148_37	P24	50	384	positive control	COPB
177408	LT0148_40	A1	50	1	positive control	ENSG00000149503
177411	LT0148_40	A4	50	4	positive control	ENSG00000149503
177422	LT0148_40	A15	50	15	negative control	
177433	LT0148_40	B2	50	26	negative control	
177456	LT0148_40	C1	50	49	positive control	ENSG00000149503
177459	LT0148_40	C4	50	52	positive control	ENSG00000149503
177470	LT0148_40	C15	50	63	negative control	
177481	LT0148_40	D2	50	74	negative control	
177711	LT0148_40	M16	50	304	negative control	
177722	LT0148_40	N3	50	315	negative control	
177740	LT0148_40	N21	50	333	positive control	COPB
177743	LT0148_40	N24	50	336	positive control	COPB
177759	LT0148_40	O16	50	352	negative control	
177770	LT0148_40	P3	50	363	negative control	
177788	LT0148_40	P21	50	381	positive control	COPB
177791	LT0148_40	P24	50	384	positive control	COPB
177792	LT0149_01	A1	50	1	positive control	ENSG00000149503
177795	LT0149_01	A4	50	4	positive control	ENSG00000149503
177806	LT0149_01	A15	50	15	negative control	
177817	LT0149_01	B2	50	26	negative control	
177840	LT0149_01	C1	50	49	positive control	ENSG00000149503
177843	LT0149_01	C4	50	52	positive control	ENSG00000149503
177854	LT0149_01	C15	50	63	negative control	
177865	LT0149_01	D2	50	74	negative control	
178095	LT0149_01	M16	50	304	negative control	
178106	LT0149_01	N3	50	315	negative control	
178124	LT0149_01	N21	50	333	positive control	COPB
178127	LT0149_01	N24	50	336	positive control	COPB
178143	LT0149_01	O16	50	352	negative control	
178154	LT0149_01	P3	50	363	negative control	
178172	LT0149_01	P21	50	381	positive control	COPB
178175	LT0149_01	P24	50	384	positive control	COPB
178176	LT0149_03	A1	50	1	positive control	ENSG00000149503
178179	LT0149_03	A4	50	4	positive control	ENSG00000149503
178190	LT0149_03	A15	50	15	negative control	
178201	LT0149_03	B2	50	26	negative control	
178224	LT0149_03	C1	50	49	positive control	ENSG00000149503
178227	LT0149_03	C4	50	52	positive control	ENSG00000149503
178238	LT0149_03	C15	50	63	negative control	
178249	LT0149_03	D2	50	74	negative control	
178479	LT0149_03	M16	50	304	negative control	
178490	LT0149_03	N3	50	315	negative control	
178508	LT0149_03	N21	50	333	positive control	COPB
178511	LT0149_03	N24	50	336	positive control	COPB
178527	LT0149_03	O16	50	352	negative control	
178538	LT0149_03	P3	50	363	negative control	
178556	LT0149_03	P21	50	381	positive control	COPB
178559	LT0149_03	P24	50	384	positive control	COPB
178560	LT0149_05	A1	50	1	positive control	ENSG00000149503
178563	LT0149_05	A4	50	4	positive control	ENSG00000149503
178574	LT0149_05	A15	50	15	negative control	
178585	LT0149_05	B2	50	26	negative control	
178608	LT0149_05	C1	50	49	positive control	ENSG00000149503
178611	LT0149_05	C4	50	52	positive control	ENSG00000149503
178622	LT0149_05	C15	50	63	negative control	
178633	LT0149_05	D2	50	74	negative control	
178863	LT0149_05	M16	50	304	negative control	
178874	LT0149_05	N3	50	315	negative control	
178892	LT0149_05	N21	50	333	positive control	COPB
178895	LT0149_05	N24	50	336	positive control	COPB
178911	LT0149_05	O16	50	352	negative control	
178922	LT0149_05	P3	50	363	negative control	
178940	LT0149_05	P21	50	381	positive control	COPB
178943	LT0149_05	P24	50	384	positive control	COPB
178944	LT0150_02	A1	50	1	positive control	ENSG00000149503
178947	LT0150_02	A4	50	4	positive control	ENSG00000149503
178958	LT0150_02	A15	50	15	negative control	
178969	LT0150_02	B2	50	26	negative control	
178992	LT0150_02	C1	50	49	positive control	ENSG00000149503
178995	LT0150_02	C4	50	52	positive control	ENSG00000149503
179006	LT0150_02	C15	50	63	negative control	
179017	LT0150_02	D2	50	74	negative control	
179247	LT0150_02	M16	50	304	negative control	
179258	LT0150_02	N3	50	315	negative control	
179276	LT0150_02	N21	50	333	positive control	COPB
179279	LT0150_02	N24	50	336	positive control	COPB
179295	LT0150_02	O16	50	352	negative control	
179306	LT0150_02	P3	50	363	negative control	
179324	LT0150_02	P21	50	381	positive control	COPB
179328	LT0150_04	A1	50	1	positive control	ENSG00000149503
179331	LT0150_04	A4	50	4	positive control	ENSG00000149503
179342	LT0150_04	A15	50	15	negative control	
179353	LT0150_04	B2	50	26	negative control	
179376	LT0150_04	C1	50	49	positive control	ENSG00000149503
179379	LT0150_04	C4	50	52	positive control	ENSG00000149503
179390	LT0150_04	C15	50	63	negative control	
179401	LT0150_04	D2	50	74	negative control	
179631	LT0150_04	M16	50	304	negative control	
179642	LT0150_04	N3	50	315	negative control	
179660	LT0150_04	N21	50	333	positive control	COPB
179663	LT0150_04	N24	50	336	positive control	COPB
179679	LT0150_04	O16	50	352	negative control	
179690	LT0150_04	P3	50	363	negative control	
179708	LT0150_04	P21	50	381	positive control	COPB
179711	LT0150_04	P24	50	384	positive control	COPB
179712	LT0150_05	A1	50	1	positive control	ENSG00000149503
179715	LT0150_05	A4	50	4	positive control	ENSG00000149503
179726	LT0150_05	A15	50	15	negative control	
179737	LT0150_05	B2	50	26	negative control	
179760	LT0150_05	C1	50	49	positive control	ENSG00000149503
179763	LT0150_05	C4	50	52	positive control	ENSG00000149503
179774	LT0150_05	C15	50	63	negative control	
179785	LT0150_05	D2	50	74	negative control	
180015	LT0150_05	M16	50	304	negative control	
180026	LT0150_05	N3	50	315	negative control	
180044	LT0150_05	N21	50	333	positive control	COPB
180047	LT0150_05	N24	50	336	positive control	COPB
180063	LT0150_05	O16	50	352	negative control	
180074	LT0150_05	P3	50	363	negative control	
180092	LT0150_05	P21	50	381	positive control	COPB
180095	LT0150_05	P24	50	384	positive control	COPB
180099	LT0151_06	A4	50	4	positive control	ENSG00000149503
180110	LT0151_06	A15	50	15	negative control	
180121	LT0151_06	B2	50	26	negative control	
180144	LT0151_06	C1	50	49	positive control	ENSG00000149503
180147	LT0151_06	C4	50	52	positive control	ENSG00000149503
180158	LT0151_06	C15	50	63	negative control	
180169	LT0151_06	D2	50	74	negative control	
180399	LT0151_06	M16	50	304	negative control	
180410	LT0151_06	N3	50	315	negative control	
180428	LT0151_06	N21	50	333	positive control	COPB
180431	LT0151_06	N24	50	336	positive control	COPB
180447	LT0151_06	O16	50	352	negative control	
180476	LT0151_06	P21	50	381	positive control	COPB
180479	LT0151_06	P24	50	384	positive control	COPB
180480	LT0151_08	A1	50	1	positive control	ENSG00000149503
180483	LT0151_08	A4	50	4	positive control	ENSG00000149503
180494	LT0151_08	A15	50	15	negative control	
180505	LT0151_08	B2	50	26	negative control	
180528	LT0151_08	C1	50	49	positive control	ENSG00000149503
180531	LT0151_08	C4	50	52	positive control	ENSG00000149503
180542	LT0151_08	C15	50	63	negative control	
180553	LT0151_08	D2	50	74	negative control	
180783	LT0151_08	M16	50	304	negative control	
180794	LT0151_08	N3	50	315	negative control	
180812	LT0151_08	N21	50	333	positive control	COPB
180815	LT0151_08	N24	50	336	positive control	COPB
180831	LT0151_08	O16	50	352	negative control	
180842	LT0151_08	P3	50	363	negative control	
180860	LT0151_08	P21	50	381	positive control	COPB
180863	LT0151_08	P24	50	384	positive control	COPB
180864	LT0151_09	A1	50	1	positive control	ENSG00000149503
180867	LT0151_09	A4	50	4	positive control	ENSG00000149503
180878	LT0151_09	A15	50	15	negative control	
180889	LT0151_09	B2	50	26	negative control	
180912	LT0151_09	C1	50	49	positive control	ENSG00000149503
180915	LT0151_09	C4	50	52	positive control	ENSG00000149503
180926	LT0151_09	C15	50	63	negative control	
180937	LT0151_09	D2	50	74	negative control	
181167	LT0151_09	M16	50	304	negative control	
181178	LT0151_09	N3	50	315	negative control	
